Ngày,Đóng cửa,Cao nhất,Thấp nhất,Mở cửa,Số lượng,Nhãn dán
2023-05-11,116.01533508300781,117.35890998003737,113.86561676637899,114.85090401178836,78900000,GOOGL
2023-05-12,116.95086669921875,117.46838909715726,115.55752665279486,116.12481417824908,41073800,GOOGL
2023-05-15,115.95562744140625,117.91625505636303,115.45800652768493,115.55752919181069,36266800,GOOGL
2023-05-16,118.94135284423828,120.1754505833764,115.87600619542154,115.93571827523857,45035600,GOOGL
2023-05-17,120.2650146484375,121.09106715915512,118.3242961888887,119.04087149490434,33323600,GOOGL
2023-05-18,122.24554443359375,122.72325621543935,120.25506095868938,120.37448510760484,35234200,GOOGL
2023-05-19,122.17588806152344,125.37061339548771,121.56878994331822,122.96213001121694,41330300,GOOGL
2023-05-22,124.45499420166016,125.82842519711046,122.15598040509195,122.35503332746399,35253000,GOOGL
2023-05-23,121.97683715820312,124.03698745783406,121.62850403374236,123.56923017246825,34046300,GOOGL
2023-05-24,120.3247299194336,121.32992621989823,119.28967758115877,120.54368432083105,34182600,GOOGL
2023-05-25,122.89246368408203,124.72370499429998,121.37969186050914,123.92750849840978,42317000,GOOGL
2023-05-26,124.01708221435547,124.66399090771507,121.86735626591603,122.58393158206252,35635900,GOOGL
2023-05-30,123.08154296875,125.0620794791518,121.419491101425,125.04217039241361,35076700,GOOGL
2023-05-31,122.28535461425781,123.4696871146494,121.91711243909198,122.16592287264116,37325800,GOOGL
2023-06-01,123.13131713867188,123.82798336385527,122.03655267348697,122.23559799694154,30772700,GOOGL
2023-06-02,124.07678985595703,125.54975101903904,123.17112379211459,123.40002514747484,26963100,GOOGL
2023-06-05,125.41043090820312,126.82367254963857,123.25075026674988,123.41994715640348,32305500,GOOGL
2023-06-06,126.70423126220703,127.67956397510677,124.76351278739155,125.41042147669415,26638300,GOOGL
2023-06-07,121.91712188720703,128.42599665134557,121.53893273241714,126.36585399872072,52539000,GOOGL
2023-06-08,121.558837890625,122.64365544606527,120.66311871482401,121.64841360475143,29389200,GOOGL
2023-06-09,121.64840698242188,123.17112570184304,121.3299299142625,121.66830847720398,23762500,GOOGL
2023-06-12,123.05169677734375,123.45974956411615,121.0811222457333,122.20574275748704,28306400,GOOGL
2023-06-13,123.24079132080078,124.56446470926541,122.59388264580667,124.38532088531461,22278300,GOOGL
2023-06-14,123.08154296875,123.4597396858578,120.87210511250152,122.51425548618013,30592300,GOOGL
2023-06-15,124.49479675292969,124.86303896319669,121.8176013960505,122.55407822349193,35246300,GOOGL
2023-06-16,122.94220733642578,125.50993277297005,122.693396908693,125.33078896127878,45514000,GOOGL
2023-06-20,122.51426696777344,123.97727366337496,121.55883572827894,122.34507768010195,26097500,GOOGL
2023-06-21,119.97640228271484,122.07636309263388,119.52853891590576,121.81759809801702,30306300,GOOGL
2023-06-22,122.56401824951172,122.65358635883324,118.26457436097019,119.4290053407,26952200,GOOGL
2023-06-23,121.75788116455078,122.20574454143095,120.48397284408658,120.80244992420262,34885300,GOOGL
2023-06-26,117.77690887451172,121.41949744247009,117.70724225347334,120.1853997584649,33969900,GOOGL
2023-06-27,117.76696014404297,118.51339146949954,115.54756766205826,116.52290793494869,39535900,GOOGL
2023-06-28,119.60816192626953,119.81716179676539,116.2940048517799,116.53286076190481,27091400,GOOGL
2023-06-29,118.53329467773438,119.48872587696212,117.73710580825735,118.67262791972016,24090900,GOOGL
2023-06-30,119.13044738769531,120.50388601157216,119.12050043614025,119.59821227593784,29519700,GOOGL
2023-07-03,119.32949829101562,119.61811933616502,118.25463528006463,118.67263503107024,14467900,GOOGL
2023-07-05,121.17069244384766,122.02660102256166,118.66268638063181,118.67263333187572,27584800,GOOGL
