Ngày,Đóng cửa,Cao nhất,Thấp nhất,Mở cửa,Số lượng,Nhãn dán
,META,META,META,META,META,
2015-07-31,93.56901550292969,95.87813243175634,93.50929179015925,94.50460094212947,46509000,META
2015-08-03,93.69840240478516,94.63399543205735,92.36469179396461,93.0912632181859,29343100,META
2015-08-04,93.61876678466797,94.28562961910595,92.89219543080725,93.35003668243581,20136000,META
2015-08-05,95.98760986328125,96.63455468876653,94.73351829943176,94.80318963111198,29813200,META
2015-08-06,94.67381286621094,98.27682727333071,93.97709187719634,96.7241473672175,42271300,META
2015-08-07,93.85765075683594,94.9524892433251,93.17088505088653,94.93257880899296,23199100,META
2015-08-10,93.70836639404297,95.45015756272925,93.19080133721349,95.23118831511731,21624200,META
2015-08-11,93.18084716796875,94.31549901353588,92.46422335106186,93.29033178408544,22491000,META
2015-08-12,93.74817657470703,93.99700387629095,90.76224895570014,92.26516038987019,27050500,META
2015-08-13,92.99172973632812,94.28563460682578,92.91210318567471,93.60882411348338,17451800,META
2015-08-14,93.97708129882812,94.27567705959582,92.77275822598152,93.10121204410486,15929700,META
2015-08-17,93.4893798828125,94.01689246722779,92.95191208163311,93.97707919377686,18313500,META
2015-08-18,94.72356414794922,95.40037463200112,93.5988676114301,93.6386808862103,22278800,META
2015-08-19,94.86290740966797,95.64920250591064,93.71830802536084,94.18609692135819,23251300,META
2015-08-20,90.13518524169922,94.32543543578524,90.03565585530585,93.10120955529645,44598200,META
2015-08-21,85.65628814697266,88.76165488950157,85.20840214467934,87.1094383424367,62778700,META
2015-08-24,81.70491790771484,81.70491790771484,71.66225303679471,76.66865644369389,83710700,META
2015-08-25,82.61065673828125,87.25874849374081,82.61065673828125,86.5421247142872,52021200,META
2015-08-26,86.78099822998047,87.04972833145962,82.8694333718825,85.54680954441699,45124300,META
2015-08-27,89.30909729003906,89.6375435528123,86.78101102686061,88.68204763811286,42431400,META
2015-08-28,90.58309173583984,91.05088827129295,89.36881330601005,89.45838748840413,33215900,META
2015-08-31,89.01049041748047,90.62289384428205,88.4730226085466,90.17500020670104,32850700,META
2015-09-01,86.82081604003906,88.97067974503275,86.09423705664041,86.44259372254149,36097400,META
