Ngày,Đóng cửa,Cao nhất,Thấp nhất,Mở cửa,Số lượng,Nhãn dán
2018-05-18,44.07170486450195,44.42653046786745,44.029127524644984,44.27987037350764,73190800,AAPL
2018-05-21,44.38395690917969,44.7718994575301,44.21364031629678,44.471479410434824,73603200,AAPL
2018-05-22,44.27277755737305,44.67964456930192,44.182887242571354,44.56136935907778,60962800,AAPL
2018-05-23,44.556640625,44.58975754192542,43.94160804270139,44.08117554425509,80233600,AAPL
2018-05-24,44.50695037841797,44.670170710157926,44.048045695598724,44.65361406129258,92936000,AAPL
2018-05-25,44.608680725097656,44.86178780942096,44.38868694727268,44.52588663043246,69844000,AAPL
2018-05-29,44.44782638549805,44.64889570398078,44.20417972021564,44.376864140831934,90056400,AAPL
2018-05-30,44.35319900512695,44.47147420247396,44.18288243218946,44.405240380717444,74762000,AAPL
2018-05-31,44.204185485839844,44.52589427168926,44.031504652173794,44.28697959471366,109931200,AAPL
2018-06-01,45.00135040283203,45.00607881211757,44.412338594235976,44.469111990917085,93770000,AAPL
2018-06-04,45.377464294433594,45.753578569376124,45.263921111511316,45.332519140294664,105064800,AAPL
2018-06-05,45.72755813598633,45.8765860459165,45.50283597350951,45.67078834894453,86264000,AAPL
2018-06-06,45.88603591918945,45.909692397997205,45.398742775313714,45.803245462306116,83734400,AAPL
2018-06-07,45.76304244995117,45.938087437716206,45.49810354474371,45.92389499108366,85388800,AAPL
2018-06-08,45.346702575683594,45.41766840445996,44.89016212062282,45.22133117561654,106627200,AAPL
2018-06-11,45.23553466796875,45.41058327377536,44.99425584445907,45.2639231720962,73234000,AAPL
2018-06-12,45.483909606933594,45.561971670326066,45.216606505875056,45.27337990001665,67644400,AAPL
2018-06-13,45.11016845703125,45.62585029625447,45.048666641672256,45.5170355050327,86553600,AAPL
2018-06-14,45.133819580078125,45.31596440897372,44.99661990722573,45.31123239005526,86440400,AAPL
2018-06-15,44.6701774597168,44.98242572578577,44.53297779215371,44.951673018210656,246876800,AAPL
2018-06-18,44.64651870727539,44.760061875683114,44.28222911148692,44.443085242080755,73939600,AAPL
2018-06-19,43.925052642822266,44.076444783013294,43.395178347417,43.79494917637529,134314000,AAPL
2018-06-20,44.11665725708008,44.282241843925135,43.93451240681388,44.08117613471088,82514800,AAPL
2018-06-21,43.870643615722656,44.55427420282024,43.74763638348965,44.294067290302934,102847600,AAPL
2018-06-22,43.74290084838867,44.03385683847325,43.69085947006815,44.02676061501797,108801600,AAPL
2018-06-25,43.09238815307617,43.742901786561845,42.7517549820262,43.383344149401005,126652400,AAPL
2018-06-26,43.62699508666992,44.123752445008655,43.17991490795434,43.28636549150779,98276800,AAPL
2018-06-27,43.5631217956543,44.30115787617731,43.53236908914164,43.81622884246029,101141200,AAPL
2018-06-28,43.880104064941406,44.048056455730084,43.47796906225165,43.54893491201409,69460800,AAPL
2018-06-29,43.78784942626953,44.2798747446439,43.26743921185514,44.06697719592457,90950800,AAPL
2018-07-02,44.277503967285156,44.30589247089848,43.38807572597858,43.4826980555683,70925200,AAPL
2018-07-03,43.506343841552734,44.45964154880952,43.41645354545822,44.421792623141066,55819200,AAPL
2018-07-05,43.856449127197266,44.09536737618511,43.591513795499964,43.8233322107351,66416800,AAPL
2018-07-06,44.46438217163086,44.57319334214451,43.809136505897534,43.86117788639464,69940800,AAPL
2018-07-09,45.08177947998047,45.105432356298394,44.778995231116525,44.82630459322533,79026400,AAPL
2018-07-10,45.027374267578125,45.24736442747198,44.98715751950538,45.11253256386964,63756400,AAPL
2018-07-11,44.44309616088867,44.892540536298526,44.37922653382369,44.58975627317487,75326000,AAPL
2018-07-12,45.18822479248047,45.278115103826856,44.78135779619121,44.83339917544724,72164400,AAPL
2018-07-13,45.25919723510742,45.379836663073824,45.15747866647142,45.2000596236482,50055600,AAPL
2018-07-16,45.15984344482422,45.57143888284523,45.04393243474662,45.3041393514624,60172400,AAPL
2018-07-17,45.28758239746094,45.386933152154526,44.75534389122667,44.885447359089724,62138000,AAPL
2018-07-18,45.03920364379883,45.37037643512688,44.92802464500332,45.365644415536565,65573600,AAPL
